"","Sample","cmpgnd_","Img_S_D","Dsply_C","Seagrss","Locatin","ZoneNam","point.ID","poly.ID","NetName","ResName","ResArea","ZoneName","ZoneIUCN","NatLegend","Area_KM2","GAZ_DATE","LATEST_GAZ","clust","coords.x1","coords.x2"
"1","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BSSlPEA",1,"Geographe.Bay","National Park Zone",2260,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"2","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BSSlPEA",1,"Geographe.Bay","National Park Zone",2261,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"3","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Forward","SOW",0,"Geographe.Bay","National Park Zone",2262,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"4","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BSSlPEA",1,"Geographe.Bay","National Park Zone",2263,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"5","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BMFfB",0,"Geographe.Bay","National Park Zone",2264,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"6","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","SOW",0,"Geographe.Bay","National Park Zone",2265,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"7","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BSSlPEA",1,"Geographe.Bay","National Park Zone",2266,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"8","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Forward","BSSlP",1,"Geographe.Bay","National Park Zone",2267,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"9","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","SOW",0,"Geographe.Bay","National Park Zone",2268,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"10","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","SOW",0,"Geographe.Bay","National Park Zone",2269,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"11","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Forward","SOW",0,"Geographe.Bay","National Park Zone",2270,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"12","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","BSSlPEA",1,"Geographe.Bay","National Park Zone",2271,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"13","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","SOW",0,"Geographe.Bay","National Park Zone",2272,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"14","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Forward","BSSlA",1,"Geographe.Bay","National Park Zone",2273,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
"15","170","2014-12_Geographe_Bay_stereoBRUVs","GeograpBay2014_Rear","SOW",0,"Geographe.Bay","National Park Zone",2274,3,"South-west","Geographe",976.656117,"National Park Zone","II","National Park Zone (IUCN II)",15.2725206762,"1899/12/30","1899/12/30","1",115.3698333,-33.54165
