"","Cluster","ZoneName","maxn_sum","no.samples","maxn_mean","Time","Period","CvI"
"1",16,"Habitat Protection Zone",278,14,19.8571428571429,"T1","Before","Impact"
"2",17,"Habitat Protection Zone",19,8,2.375,"T1","Before","Impact"
"3",9,"Multiple Use Zone",200,15,13.3333333333333,"T1","Before","Control"
"4",10,"Multiple Use Zone",67,12,5.58333333333333,"T1","Before","Control"
"5",11,"Multiple Use Zone",292,36,8.11111111111111,"T1","Before","Control"
"6",12,"Multiple Use Zone",69,12,5.75,"T1","Before","Control"
"7",13,"Multiple Use Zone",189,20,9.45,"T1","Before","Control"
"8",14,"National Park Zone",27,4,6.75,"T1","Before","Control"
"9",15,"National Park Zone",48,5,9.6,"T1","Before","Control"
"10",16,"Habitat Protection Zone",278,14,19.8571428571429,"T2","Before","Impact"
"11",17,"Habitat Protection Zone",19,8,2.375,"T2","Before","Impact"
"12",9,"Multiple Use Zone",200,15,13.3333333333333,"T2","Before","Control"
"13",10,"Multiple Use Zone",67,12,5.58333333333333,"T2","Before","Control"
"14",11,"Multiple Use Zone",292,36,8.11111111111111,"T2","Before","Control"
"15",12,"Multiple Use Zone",69,12,5.75,"T2","Before","Control"
"16",13,"Multiple Use Zone",189,20,9.45,"T2","Before","Control"
"17",14,"National Park Zone",27,4,6.75,"T2","Before","Control"
"18",15,"National Park Zone",48,5,9.6,"T2","Before","Control"
"19",16,"Habitat Protection Zone",278,14,19.8571428571429,"T3","Before","Impact"
"20",17,"Habitat Protection Zone",19,8,2.375,"T3","Before","Impact"
"21",9,"Multiple Use Zone",200,15,13.3333333333333,"T3","Before","Control"
"22",10,"Multiple Use Zone",67,12,5.58333333333333,"T3","Before","Control"
"23",11,"Multiple Use Zone",292,36,8.11111111111111,"T3","Before","Control"
"24",12,"Multiple Use Zone",69,12,5.75,"T3","Before","Control"
"25",13,"Multiple Use Zone",189,20,9.45,"T3","Before","Control"
"26",14,"National Park Zone",27,4,6.75,"T3","Before","Control"
"27",15,"National Park Zone",48,5,9.6,"T3","Before","Control"
