"","sample","maxn","ZoneName","Cluster","Time","Period","CvI"
"Habitat Protection Zone.32","12RC1",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.58","15",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.71","207",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.83","271",1,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.88","287",1,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.100","335",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.106","375",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.122","443",1,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.138","527",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.184","719",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.196","779",3,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.199","783",0,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.200","79",1,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.222","91",1,"Habitat Protection Zone",17,"T1","Before","Control"
"Habitat Protection Zone.230","GBR-BOB",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.232","GBR1-3",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.233","GBR1-4",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.234","GBR4-1",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.235","GBR4-2",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.236","GBR5-1",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.237","GBR5-2",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Habitat Protection Zone.238","GBR5-3",0,"Habitat Protection Zone",16,"T1","Before","Control"
"Multiple Use Zone.2","10",0,"Multiple Use Zone",9,"T1","Before","Control"
"Multiple Use Zone.11","102",0,"Multiple Use Zone",10,"T1","Before","Control"
"Multiple Use Zone.13","1038",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.15","106",0,"Multiple Use Zone",9,"T1","Before","Control"
"Multiple Use Zone.16","107",4,"Multiple Use Zone",12,"T1","Before","Control"
"Multiple Use Zone.18","11",0,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.20","111",0,"Multiple Use Zone",9,"T1","Before","Control"
"Multiple Use Zone.25","116",0,"Multiple Use Zone",10,"T1","Before","Control"
"Multiple Use Zone.31","122",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.33","12RC2",7,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.34","12RC3",2,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.35","12RC5",0,"Multiple Use Zone",9,"T1","Before","Control"
"Multiple Use Zone.36","12RC6",0,"Multiple Use Zone",9,"T1","Before","Control"
"Multiple Use Zone.37","12RC7",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.38","12RC8",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.39","12RC9",1,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.41","135",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.42","139",0,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.43","13RC1",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.48","13RC2",1,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.49","13RC3",1,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.50","13RC4",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.51","13RC5",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.56","14",1,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.57","143",2,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.61","160",0,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.66","183",0,"Multiple Use Zone",13,"T1","Before","Control"
"Multiple Use Zone.68","196",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.73","22",2,"Multiple Use Zone",12,"T1","Before","Control"
"Multiple Use Zone.75","23",0,"Multiple Use Zone",11,"T1","Before","Control"
"Multiple Use Zone.80","26",0,"Multiple Use Zone",9,"T1","Before","Control"
