"","sample","maxn","ZoneName","Cluster","Time","Period","CvI"
"Multiple Use Zone.1722","55",1,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1732","56",3,"Multiple Use Zone",10,"T3","Before","Impact"
"Multiple Use Zone.1742","567",14,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1752","570",0,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.1762","579",5,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1772","599",6,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1782","61",4,"Multiple Use Zone",10,"T3","Before","Impact"
"Multiple Use Zone.1792","618",30,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.1802","63",13,"Multiple Use Zone",10,"T3","Before","Impact"
"Multiple Use Zone.1812","631",5,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1822","634",2,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1832","635",2,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.1842","647",1,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1852","650",2,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1862","655",11,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1872","682",3,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.1882","684",0,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.1892","694",7,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.1902","698",10,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1912","746",0,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.1922","75",4,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1932","759",51,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.1942","762",8,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1952","78",1,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1962","782",3,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1972","791",31,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.1982","800",11,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.1992","823",5,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.2002","839",0,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.2012","843",12,"Multiple Use Zone",13,"T3","Before","Impact"
"Multiple Use Zone.2022","855",4,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.2032","858",53,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.2042","86",0,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.2052","87",2,"Multiple Use Zone",11,"T3","Before","Impact"
"Multiple Use Zone.2062","88",0,"Multiple Use Zone",10,"T3","Before","Impact"
"Multiple Use Zone.2072","90",14,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.2082","95",17,"Multiple Use Zone",9,"T3","Before","Impact"
"Multiple Use Zone.2092","GBR1-2",18,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.2102","RB1",0,"Multiple Use Zone",12,"T3","Before","Impact"
"Multiple Use Zone.2112","RB2",0,"Multiple Use Zone",10,"T3","Before","Impact"
"Multiple Use Zone.2122","RC2",9,"Multiple Use Zone",10,"T3","Before","Impact"
"National Park Zone.2132","170",0,"National Park Zone",14,"T3","Before","Control"
"National Park Zone.2142","378",4,"National Park Zone",15,"T3","Before","Control"
"National Park Zone.2152","42",1,"National Park Zone",14,"T3","Before","Control"
"National Park Zone.2162","554",1,"National Park Zone",15,"T3","Before","Control"
"National Park Zone.2172","58",0,"National Park Zone",15,"T3","Before","Control"
"National Park Zone.2182","586",1,"National Park Zone",14,"T3","Before","Control"
"National Park Zone.2192","666",41,"National Park Zone",15,"T3","Before","Control"
"National Park Zone.2202","810",2,"National Park Zone",15,"T3","Before","Control"
"National Park Zone.2212","826",25,"National Park Zone",14,"T3","Before","Control"
