Time on GPS,Time on GPS Adjusted to remove rounding error,Time correction for Layback,Corrected time,Rounded to nearest second,Transect,Long,Lat,Matched_image_name,Date-time,Speed,Unknown2,Date,NA,Unknown3,Unknown4,Date,,
11:43:49,11:43:49,0:00:48,11:44:37,11:44:37,NPZT1,115.3963067,33.53459,L1120_NPZT1_11_40_37_0050,5/19/2020 11:43,1.03,263.43,190520,NA,NA,D*74,190520,3,
11:43:54,11:43:54,0:00:48,11:44:42,11:44:42,NPZT1,115.3962733,33.5346,L1120_NPZT1_11_40_37_0051,5/19/2020 11:43,1.12,260.68,190520,NA,NA,D*72,190520,8,
11:43:59,11:43:59,0:00:48,11:44:47,11:44:47,NPZT1,115.3962483,33.53460333,L1120_NPZT1_11_40_37_0052,5/19/2020 11:43,1.02,256.06,190520,NA,NA,D*77,190520,13,
11:44:04,11:44:04,0:00:48,11:44:52,11:44:52,NPZT1,115.3962217,33.534615,L1120_NPZT1_11_40_37_0053,5/19/2020 11:44,0.98,251.93,190520,NA,NA,D*7D,190520,18,
11:44:09,11:44:09,0:00:48,11:44:57,11:44:57,NPZT1,115.3961883,33.53461833,L1120_NPZT1_11_40_37_0054,5/19/2020 11:44,1.04,252.95,190520,NA,NA,D*70,190520,23,
11:44:14,11:44:14,0:00:48,11:45:02,11:45:02,NPZT1,115.3961633,33.53463,L1120_NPZT1_11_40_37_0055,5/19/2020 11:44,0.86,244.85,190520,NA,NA,D*73,190520,28,
11:44:19,11:44:19,0:00:48,11:45:07,11:45:07,NPZT1,115.39613,33.53464333,L1120_NPZT1_11_40_37_0056,5/19/2020 11:44,1.06,245.89,190520,NA,NA,D*7C,190520,33,
11:44:24,11:44:24,0:00:48,11:45:12,11:45:12,NPZT1,115.3960983,33.53465833,L1120_NPZT1_11_40_37_0057,5/19/2020 11:44,1.12,246.12,190520,NA,NA,D*7C,190520,38,
11:44:29,11:44:29,0:00:48,11:45:17,11:45:17,NPZT1,115.3960767,33.534665,L1120_NPZT1_11_40_37_0058,5/19/2020 11:44,1,243.1,190520,NA,NA,D*7C,190520,43,
11:44:34,11:44:34,0:00:48,11:45:22,11:45:22,NPZT1,115.3960533,33.53467167,L1120_NPZT1_11_40_37_0059,5/19/2020 11:44,0.93,244.02,190520,NA,NA,D*79,190520,48,
11:44:39,11:44:39,0:00:48,11:45:27,11:45:27,NPZT1,115.3960317,33.53468667,L1120_NPZT1_11_40_37_0060,5/19/2020 11:44,0.93,238.91,190520,NA,NA,D*75,190520,53,
11:44:44,11:44:44,0:00:48,11:45:32,11:45:32,NPZT1,115.3960117,33.53470167,L1120_NPZT1_11_40_37_0061,5/19/2020 11:44,0.96,237.45,190520,NA,NA,D*7C,190520,58,
11:44:49,11:44:49,0:00:48,11:45:37,11:45:37,NPZT1,115.39599,33.53471333,L1120_NPZT1_11_40_37_0062,5/19/2020 11:44,0.93,238.69,190520,NA,NA,D*7A,190520,63,
11:44:54,11:44:54,0:00:48,11:45:42,11:45:42,NPZT1,115.3959633,33.53473,L1120_NPZT1_11_40_37_0063,5/19/2020 11:44,1.01,235.1,190520,NA,NA,D*75,190520,68,
11:44:59,11:44:59,0:00:48,11:45:47,11:45:47,NPZT1,115.3959317,33.534745,L1120_NPZT1_11_40_37_0064,5/19/2020 11:44,1.22,237.8,190520,NA,NA,D*70,190520,73,
11:45:04,11:45:04,0:00:48,11:45:52,11:45:52,NPZT1,115.3959,33.53475667,L1120_NPZT1_11_40_37_0065,5/19/2020 11:45,1.09,230.05,190520,NA,NA,D*7C,190520,78,
11:45:09,11:45:09,0:00:48,11:45:57,11:45:57,NPZT1,115.3958667,33.53476333,L1120_NPZT1_11_40_37_0066,5/19/2020 11:45,1.5,260.32,190520,NA,NA,D*7A,190520,83,
11:45:14,11:45:14,0:00:48,11:46:02,11:46:02,NPZT1,115.3958367,33.53476833,L1120_NPZT1_11_40_37_0067,5/19/2020 11:45,1.31,248.84,190520,NA,NA,D*75,190520,88,
11:45:19,11:45:19,0:00:48,11:46:07,11:46:07,NPZT1,115.3958033,33.53476833,L1120_NPZT1_11_40_37_0068,5/19/2020 11:45,1.23,252.35,190520,NA,NA,D*7A,190520,93,
11:45:24,11:45:24,0:00:48,11:46:12,11:46:12,NPZT1,115.3957667,33.53476667,L1120_NPZT1_11_40_37_0069,5/19/2020 11:45,1.24,261.24,190520,NA,NA,D*75,190520,98,
11:45:29,11:45:29,0:00:48,11:46:17,11:46:17,NPZT1,115.395745,33.53477333,L1120_NPZT1_11_40_37_0070,5/19/2020 11:45,0.94,253.99,190520,NA,NA,D*7F,190520,103,
11:45:34,11:45:34,0:00:48,11:46:22,11:46:22,NPZT1,115.3957183,33.534775,L1120_NPZT1_11_40_37_0071,5/19/2020 11:45,0.99,252.72,190520,NA,NA,D*73,190520,108,
11:45:39,11:45:39,0:00:48,11:46:27,11:46:27,NPZT1,115.39569,33.53477667,L1120_NPZT1_11_40_37_0072,5/19/2020 11:45,1.07,254.19,190520,NA,NA,D*7E,190520,113,
11:45:44,11:45:44,0:00:48,11:46:32,11:46:32,NPZT1,115.3956667,33.53478833,L1120_NPZT1_11_40_37_0073,5/19/2020 11:45,0.85,247.01,190520,NA,NA,D*7A,190520,118,
11:45:49,11:45:49,0:00:48,11:46:37,11:46:37,NPZT1,115.3956367,33.534795,L1120_NPZT1_11_40_37_0074,5/19/2020 11:45,0.96,248.55,190520,NA,NA,D*7D,190520,123,
11:45:54,11:45:54,0:00:48,11:46:42,11:46:42,NPZT1,115.3956083,33.53480167,L1120_NPZT1_11_40_37_0075,5/19/2020 11:45,0.96,248.7,190520,NA,NA,D*7F,190520,128,
11:45:59,11:45:59,0:00:48,11:46:47,11:46:47,NPZT1,115.395585,33.534805,L1120_NPZT1_11_40_37_0076,5/19/2020 11:45,0.93,248.12,190520,NA,NA,D*7F,190520,133,
11:46:04,11:46:04,0:00:48,11:46:52,11:46:52,NPZT1,115.3955533,33.53481167,L1120_NPZT1_11_40_37_0077,5/19/2020 11:46,1.04,252.48,190520,NA,NA,D*70,190520,138,
11:46:09,11:46:09,0:00:48,11:46:57,11:46:57,NPZT1,115.395535,33.53483,L1120_NPZT1_11_40_37_0078,5/19/2020 11:46,0.77,240.21,190520,NA,NA,D*76,190520,143,
11:46:14,11:46:14,0:00:48,11:47:02,11:47:02,NPZT1,115.395515,33.53484167,L1120_NPZT1_11_40_37_0079,5/19/2020 11:46,0.89,240.66,190520,NA,NA,D*7E,190520,148,
11:46:19,11:46:19,0:00:48,11:47:07,11:47:07,NPZT1,115.395495,33.53486167,L1120_NPZT1_11_40_37_0080,5/19/2020 11:46,0.92,238.07,190520,NA,NA,D*7D,190520,153,
11:46:24,11:46:24,0:00:48,11:47:12,11:47:12,NPZT1,115.3954683,33.53487833,L1120_NPZT1_11_40_37_0081,5/19/2020 11:46,1.06,239.02,190520,NA,NA,D*74,190520,158,
11:46:29,11:46:29,0:00:48,11:47:17,11:47:17,NPZT1,115.3954467,33.53489333,L1120_NPZT1_11_40_37_0082,5/19/2020 11:46,1.05,240.34,190520,NA,NA,D*7D,190520,163,
11:46:34,11:46:34,0:00:48,11:47:22,11:47:22,NPZT1,115.3954217,33.534905,L1120_NPZT1_11_40_37_0083,5/19/2020 11:46,1.04,239.34,190520,NA,NA,D*7D,190520,168,
11:46:39,11:46:39,0:00:48,11:47:27,11:47:27,NPZT1,115.3953933,33.53491667,L1120_NPZT1_11_40_37_0084,5/19/2020 11:46,1.06,241.74,190520,NA,NA,D*71,190520,173,
11:46:44,11:46:44,0:00:48,11:47:32,11:47:32,NPZT1,115.395375,33.53492667,L1120_NPZT1_11_40_37_0085,5/19/2020 11:46,0.92,243.42,190520,NA,NA,D*7B,190520,178,
11:46:49,11:46:49,0:00:48,11:47:37,11:47:37,NPZT1,115.3953433,33.53494,L1120_NPZT1_11_40_37_0086,5/19/2020 11:46,1.04,243.51,190520,NA,NA,D*75,190520,183,
11:46:54,11:46:54,0:00:48,11:47:42,11:47:42,NPZT1,115.3953233,33.53495167,L1120_NPZT1_11_40_37_0087,5/19/2020 11:46,0.95,238.99,190520,NA,NA,D*7D,190520,188,
11:46:59,11:46:59,0:00:48,11:47:47,11:47:47,NPZT1,115.3952983,33.53496,L1120_NPZT1_11_40_37_0088,5/19/2020 11:46,1.01,236.47,190520,NA,NA,D*7C,190520,193,
11:47:04,11:47:04,0:00:48,11:47:52,11:47:52,NPZT1,115.3952767,33.534965,L1120_NPZT1_11_40_37_0089,5/19/2020 11:47,1.01,240.58,190520,NA,NA,D*77,190520,198,
11:47:09,11:47:09,0:00:48,11:47:57,11:47:57,NPZT1,115.3952517,33.53497167,L1120_NPZT1_11_40_37_0090,5/19/2020 11:47,0.94,239.78,190520,NA,NA,D*76,190520,203,
11:47:14,11:47:14,0:00:48,11:48:02,11:48:02,NPZT1,115.3952217,33.53497667,L1120_NPZT1_11_40_37_0091,5/19/2020 11:47,1.09,243.22,190520,NA,NA,D*75,190520,208,
11:47:19,11:47:19,0:00:48,11:48:07,11:48:07,NPZT1,115.3951983,33.53498667,L1120_NPZT1_11_40_37_0092,5/19/2020 11:47,1.07,241.88,190520,NA,NA,D*70,190520,213,
11:47:24,11:47:24,0:00:48,11:48:12,11:48:12,NPZT1,115.39517,33.535,L1120_NPZT1_11_40_37_0093,5/19/2020 11:47,1.11,240.35,190520,NA,NA,D*7C,190520,218,
