"","sample","maxn","latitude","longitude","depth","ZoneName"
"1","1",1,-33.36345,115.21415,40,"Special Purpose Zone (Mining Exclusion)"
"2","10",0,-33.5281667,115.3313333,22.7,"Multiple Use Zone"
"3","100",4,-33.4324833,115.21415,36.7,"Special Purpose Zone (Mining Exclusion)"
"4","10000",1,-33.4135833,115.3645833,16.4,"Special Purpose Zone (Mining Exclusion)"
"5","10001",0,-33.4217167,115.3722167,15.9,"Special Purpose Zone (Mining Exclusion)"
"6","10002",6,-33.4234167,115.3889333,15.4,"Special Purpose Zone (Mining Exclusion)"
"7","10003",0,-33.4213,115.35935,16.5,"Special Purpose Zone (Mining Exclusion)"
"8","10004",0,-33.4039167,115.3976,15.3,"Special Purpose Zone (Mining Exclusion)"
"9","10005",0,-33.4777667,115.3694,24.6,"Special Purpose Zone (Mining Exclusion)"
"10","101",4,-33.3885833,115.37675,16.7,"Special Purpose Zone (Mining Exclusion)"
"11","102",0,-33.5185,115.1196,34.4,"Multiple Use Zone"
"12","103",1,-33.4581167,115.4547167,18.4,"Special Purpose Zone (Mining Exclusion)"
"13","1038",0,-33.5333333,115.4200167,13.9,"Multiple Use Zone"
"14","104",1,-33.4597333,115.2450667,33.3,"Special Purpose Zone (Mining Exclusion)"
"15","106",0,-33.57825,115.3451333,13.5,"Multiple Use Zone"
"16","107",4,-33.5833333,115.1881167,20.9,"Multiple Use Zone"
"17","108",0,-33.4690833,115.1676667,35,"Special Purpose Zone (Mining Exclusion)"
"18","11",0,-33.5712167,115.2958167,21.7,"Multiple Use Zone"
"19","110",0,-33.4022667,115.3556833,17,"Special Purpose Zone (Mining Exclusion)"
"20","111",0,-33.5369,115.3219167,21.9,"Multiple Use Zone"
"21","112",2,-33.4052,115.5224,14.8,"Special Purpose Zone (Mining Exclusion)"
"22","113",1,-33.3658333,115.27785,36.6,"Special Purpose Zone (Mining Exclusion)"
"23","114",0,-33.3984333,115.1639167,39.7,"Special Purpose Zone (Mining Exclusion)"
"24","115",0,-33.4446333,115.4064667,25.2,"Special Purpose Zone (Mining Exclusion)"
"25","116",0,-33.4981667,115.2863667,29.7,"Multiple Use Zone"
"26","11R1",0,-33.35885,115.3694,30.4,"Special Purpose Zone (Mining Exclusion)"
"27","11R2",0,-33.3967333,115.5076167,18.6,"Special Purpose Zone (Mining Exclusion)"
"28","11R3",0,-33.41215,115.5204667,14.7,"Special Purpose Zone (Mining Exclusion)"
"29","11R4",0,-33.4197,115.51755,14.5,"Special Purpose Zone (Mining Exclusion)"
"30","12",0,-33.40395,115.2615667,38.7,"Special Purpose Zone (Mining Exclusion)"
"31","122",0,-33.5375,115.4020833,13.3,"Multiple Use Zone"
"32","12RC1",0,-33.5932167,115.2132833,26.5,"Habitat Protection Zone"
"33","12RC2",7,-33.5916,115.23785,17.6,"Multiple Use Zone"
"34","12RC3",2,-33.5914667,115.24145,17.9,"Multiple Use Zone"
"35","12RC5",0,-33.5621333,115.3443,14.2,"Multiple Use Zone"
"36","12RC6",0,-33.5711,115.3481333,14.7,"Multiple Use Zone"
"37","12RC7",0,-33.5118,115.41785,15.2,"Multiple Use Zone"
"38","12RC8",0,-33.5148667,115.41815,14.1,"Multiple Use Zone"
"39","12RC9",1,-33.5162167,115.4064167,14.5,"Multiple Use Zone"
"40","13",0,-33.4501833,115.0925167,42.4,"Special Purpose Zone (Mining Exclusion)"
"41","135",0,-33.50185,115.4207333,15.8,"Multiple Use Zone"
"42","139",0,-33.60325,115.2736667,13.4,"Multiple Use Zone"
"43","13RC1",0,-33.5059833,115.43075,13.8,"Multiple Use Zone"
"44","13RC11",0,-33.3740333,115.36925,31,"Special Purpose Zone (Mining Exclusion)"
"45","13RC12",2,-33.3743667,115.3668167,31.3,"Special Purpose Zone (Mining Exclusion)"
"46","13RC13",1,-33.3754833,115.3631167,31.1,"Special Purpose Zone (Mining Exclusion)"
"47","13RC15",1,-33.3768333,115.3559333,32.5,"Special Purpose Zone (Mining Exclusion)"
"48","13RC2",1,-33.49485,115.45595,13.4,"Multiple Use Zone"
"49","13RC3",1,-33.4839333,115.45155,13.6,"Multiple Use Zone"
"50","13RC4",0,-33.4993833,115.3964667,19.5,"Multiple Use Zone"
"51","13RC5",0,-33.4839333,115.4656167,26.8,"Multiple Use Zone"
"52","13RC6",1,-33.3809667,115.3892333,29.7,"Special Purpose Zone (Mining Exclusion)"
"53","13RC7",0,-33.3774333,115.38605,29.5,"Special Purpose Zone (Mining Exclusion)"
"54","13RC8",0,-33.3726,115.3791,30.4,"Special Purpose Zone (Mining Exclusion)"
"55","13RC9",1,-33.3730667,115.3747833,30.9,"Special Purpose Zone (Mining Exclusion)"
"56","14",1,-33.5296667,115.4130333,13.2,"Multiple Use Zone"
"57","143",2,-33.5761667,115.2367,23.2,"Multiple Use Zone"
"58","15",0,-33.5782333,115.2147833,26.2,"Habitat Protection Zone"
"59","151",0,-33.4768,115.4328833,17.2,"Special Purpose Zone (Mining Exclusion)"
"60","16",0,-33.3889,115.4986167,20,"Special Purpose Zone (Mining Exclusion)"
"61","160",0,-33.6033667,115.2477833,13.8,"Multiple Use Zone"
"62","167",1,-33.4627333,115.4805667,14.4,"Special Purpose Zone (Mining Exclusion)"
"63","17",2,-33.3635833,115.23265,38.8,"Special Purpose Zone (Mining Exclusion)"
"64","170",0,-33.54165,115.3698333,15.8,"National Park Zone"
"65","18",0,-33.3926,115.0981333,42.4,"Special Purpose Zone (Mining Exclusion)"
"66","183",0,-33.5687667,115.2488,22.6,"Multiple Use Zone"
"67","19",7,-33.4605,115.3618,26,"Special Purpose Zone (Mining Exclusion)"
"68","196",0,-33.5098167,115.4045,15.9,"Multiple Use Zone"
"69","2",0,-33.4405333,115.10095,40.5,"Special Purpose Zone (Mining Exclusion)"
"70","20",4,-33.4338667,115.2221167,36,"Special Purpose Zone (Mining Exclusion)"
"71","207",0,-33.5738333,115.23165,23.3,"Habitat Protection Zone"
"72","21",1,-33.3857167,115.39765,15.7,"Special Purpose Zone (Mining Exclusion)"
"73","22",2,-33.57455,115.1806667,22.6,"Multiple Use Zone"
"74","224",0,-33.4189,115.5035833,16.5,"Special Purpose Zone (Mining Exclusion)"
"75","23",0,-33.5041833,115.4289333,13.6,"Multiple Use Zone"
"76","24",0,-33.47115,115.2861667,29.2,"Special Purpose Zone (Mining Exclusion)"
"77","240",0,-33.4387833,115.4684667,18.9,"Special Purpose Zone (Mining Exclusion)"
"78","25",0,-33.3833333,115.0827833,42.5,"Special Purpose Zone (Mining Exclusion)"
"79","256",2,-33.4083167,115.4774833,11.1,"Special Purpose Zone (Mining Exclusion)"
"80","26",0,-33.5500333,115.3236167,20.5,"Multiple Use Zone"
"81","27",0,-33.5463667,115.1883833,28.2,"Multiple Use Zone"
"82","270",0,-33.52045,115.4206,13.7,"Multiple Use Zone"
"83","271",1,-33.5937,115.2133167,27.3,"Habitat Protection Zone"
"84","272",0,-33.3815,115.4879333,11.7,"Special Purpose Zone (Mining Exclusion)"
"85","279",2,-33.5011833,115.4379167,14.2,"Multiple Use Zone"
"86","28",0,-33.42715,115.2872833,34,"Special Purpose Zone (Mining Exclusion)"
"87","282",0,-33.5571833,115.3322333,18.2,"Multiple Use Zone"
"88","287",1,-33.5940333,115.2189,16.4,"Habitat Protection Zone"
"89","288",0,-33.4709833,115.4775833,14.3,"Special Purpose Zone (Mining Exclusion)"
"90","29",2,-33.4869667,115.1764,34.3,"Multiple Use Zone"
"91","3",0,-33.4920833,115.3549,24.8,"Multiple Use Zone"
"92","30",0,-33.42405,115.33405,31.8,"Special Purpose Zone (Mining Exclusion)"
"93","31",0,-33.5986333,115.2369167,26.3,"Multiple Use Zone"
"94","316",0,-33.3839667,115.5281667,9.3,"Special Purpose Zone (Mining Exclusion)"
"95","32",0,-33.4807833,115.46205,14.1,"Special Purpose Zone (Mining Exclusion)"
"96","320",0,-33.4417833,115.49575,15.1,"Special Purpose Zone (Mining Exclusion)"
"97","327",0,-33.4892333,115.3942,11.8,"Multiple Use Zone"
"98","33",0,-33.3527667,115.3204833,34.1,"Special Purpose Zone (Mining Exclusion)"
"99","331",8,-33.6030833,115.2530333,14.3,"Multiple Use Zone"
"100","335",0,-33.5771167,115.2266667,21.6,"Habitat Protection Zone"
"101","34",0,-33.3845167,115.0739,43,"Special Purpose Zone (Mining Exclusion)"
"102","35",1,-33.4055,115.4157167,27.9,"Special Purpose Zone (Mining Exclusion)"
"103","352",0,-33.4517667,115.4879833,15.2,"Special Purpose Zone (Mining Exclusion)"
"104","36",0,-33.4269,115.20765,38.2,"Special Purpose Zone (Mining Exclusion)"
"105","37",0,-33.3585,115.3721,30.3,"Special Purpose Zone (Mining Exclusion)"
"106","375",0,-33.5902167,115.2205667,26.9,"Habitat Protection Zone"
"107","378",0,-33.5555833,115.3912,13.3,"National Park Zone"
"108","38",0,-33.5036833,115.1274333,34.5,"Multiple Use Zone"
"109","384",0,-33.4274667,115.51415,13.5,"Special Purpose Zone (Mining Exclusion)"
"110","39",1,-33.465,115.43285,19.8,"Special Purpose Zone (Mining Exclusion)"
"111","391",0,-33.50165,115.4101333,17,"Multiple Use Zone"
"112","394",0,-33.5181,115.3820167,19,"Multiple Use Zone"
"113","4",0,-33.3921,115.2280833,38.4,"Special Purpose Zone (Mining Exclusion)"
"114","40",0,-33.4719667,115.2287167,33.7,"Special Purpose Zone (Mining Exclusion)"
"115","400",0,-33.3575833,115.5516833,9.8,"Special Purpose Zone (Mining Exclusion)"
"116","407",1,-33.4881667,115.4274667,16.2,"Multiple Use Zone"
"117","41",0,-33.36785,115.0985833,42.5,"Special Purpose Zone (Mining Exclusion)"
"118","42",0,-33.5425167,115.3862333,13,"National Park Zone"
"119","432",0,-33.4270333,115.4686,10.7,"Special Purpose Zone (Mining Exclusion)"
"120","44",7,-33.3984333,115.30965,34.4,"Special Purpose Zone (Mining Exclusion)"
"121","442",0,-33.5066,115.41935,14.3,"Multiple Use Zone"
"122","443",1,-33.5698,115.2024833,27,"Habitat Protection Zone"
"123","448",0,-33.3965,115.4930667,10.6,"Special Purpose Zone (Mining Exclusion)"
"124","45",0,-33.4445667,115.13165,41.1,"Special Purpose Zone (Mining Exclusion)"
"125","455",5,-33.5671333,115.1820333,24.9,"Multiple Use Zone"
"126","46",0,-33.4028,115.3493,18,"Special Purpose Zone (Mining Exclusion)"
"127","47",0,-33.5485,115.2877667,24.3,"Multiple Use Zone"
"128","48",0,-33.40275,115.5133833,17.2,"Special Purpose Zone (Mining Exclusion)"
"129","49",0,-33.3809167,115.2720667,37.7,"Special Purpose Zone (Mining Exclusion)"
"130","490",0,-33.5613,115.3612,13.4,"Multiple Use Zone"
"131","5",3,-33.3627833,115.45495,25.7,"Special Purpose Zone (Mining Exclusion)"
"132","50",1,-33.4108,115.1742333,40.5,"Special Purpose Zone (Mining Exclusion)"
"133","503",0,-33.5845333,115.3097667,16.3,"Multiple Use Zone"
"134","506",2,-33.5173833,115.4165,14.1,"Multiple Use Zone"
"135","51",1,-33.4315667,115.41365,25.4,"Special Purpose Zone (Mining Exclusion)"
"136","52",0,-33.49265,115.2982,29.7,"Multiple Use Zone"
"137","523",0,-33.5634333,115.1589167,26,"Multiple Use Zone"
"138","527",0,-33.5894167,115.2078167,26.8,"Habitat Protection Zone"
"139","53",0,-33.3582167,115.3565167,31.4,"Special Purpose Zone (Mining Exclusion)"
"140","54",12,-33.51305,115.1532,33.1,"Multiple Use Zone"
