"","sample","maxn","latitude","longitude","depth","X","clust","time","Period","CvI"
"1.32","170",0,-33.54165,115.3698333,15.8,32,"1","T3","Before","Impact"
"1.58","378",4,-33.5555833,115.3912,13.3,58,"1","T3","Before","Impact"
"1.63","42",1,-33.5425167,115.3862333,13,63,"1","T1","Before","Impact"
"1.78","554",1,-33.55765,115.3835167,12.3,78,"1","T1","Before","Impact"
"1.81","58",0,-33.56965,115.3795833,13.5,81,"1","T3","Before","Impact"
"1.82","586",1,-33.5309167,115.38595,15.8,82,"1","T2","Before","Impact"
"1.95","666",41,-33.5511167,115.35715,15.6,95,"1","T2","Before","Impact"
"1.117","810",2,-33.5513333,115.3766,14.3,117,"1","T1","Before","Impact"
"1.119","826",25,-33.5426833,115.4005833,12.8,119,"1","T2","Before","Impact"
"4.3","106",5,-33.57825,115.3451333,13.5,3,"4","T3","Before","Control"
"4.14","12RC5",8,-33.5621333,115.3443,14.2,14,"4","T3","Before","Control"
"4.15","12RC6",27,-33.5711,115.3481333,14.7,15,"4","T1","Before","Control"
"4.41","26",27,-33.5500333,115.3236167,20.5,41,"4","T2","Before","Control"
"4.47","282",2,-33.5571833,115.3322333,18.2,47,"4","T2","Before","Control"
"4.71","490",3,-33.5613,115.3612,13.4,71,"4","T1","Before","Control"
"4.86","618",30,-33.5678833,115.3528167,14.5,86,"4","T1","Before","Control"
"4.98","682",3,-33.5696167,115.3354167,15.2,98,"4","T3","Before","Control"
"4.103","746",0,-33.5794333,115.3570667,13.2,103,"4","T1","Before","Control"
"4.122","858",53,-33.5573167,115.3461833,16.6,122,"4","T2","Before","Control"
"27.6","112",1,-33.4052,115.5224,14.8,6,"27","T2","Before","Control"
"27.7","11R2",0,-33.3967333,115.5076167,18.6,7,"27","T2","Before","Control"
"27.8","11R3",0,-33.41215,115.5204667,14.7,8,"27","T3","Before","Control"
"27.29","16",0,-33.3889,115.4986167,20,29,"27","T3","Before","Control"
"27.45","272",13,-33.3815,115.4879333,11.7,45,"27","T1","Before","Control"
"27.51","316",19,-33.3839667,115.5281667,9.3,51,"27","T2","Before","Control"
"27.67","448",7,-33.3965,115.4930667,10.6,67,"27","T1","Before","Control"
"27.70","48",0,-33.40275,115.5133833,17.2,70,"27","T1","Before","Control"
"27.84","60",0,-33.3626167,115.5049333,21.5,84,"27","T2","Before","Control"
"27.96","672",1,-33.4004333,115.53565,8.4,96,"27","T3","Before","Control"
"27.104","748",0,-33.3695667,115.5138333,11.1,104,"27","T1","Before","Control"
"27.109","764",2,-33.3744333,115.49605,11.6,109,"27","T3","Before","Control"
