"","Sample","clust","Richness","time","Period","CvI"
"1.32","170","1",10,"T2","Before","Impact"
"1.58","378","1",14,"T3","Before","Impact"
"1.63","42","1",11,"T2","Before","Impact"
"1.78","554","1",9,"T3","Before","Impact"
"1.81","58","1",9,"T1","Before","Impact"
"1.82","586","1",8,"T3","Before","Impact"
"1.95","666","1",13,"T1","Before","Impact"
"1.117","810","1",16,"T2","Before","Impact"
"1.119","826","1",14,"T1","Before","Impact"
"3.2","1038","3",12,"T2","Before","Control"
"3.10","122","3",11,"T3","Before","Control"
"3.16","12RC7","3",23,"T2","Before","Control"
"3.17","12RC8","3",16,"T2","Before","Control"
"3.18","12RC9","3",20,"T3","Before","Control"
"3.19","135","3",12,"T1","Before","Control"
"3.25","14","3",23,"T3","Before","Control"
"3.34","196","3",8,"T3","Before","Control"
"3.43","270","3",9,"T1","Before","Control"
"3.61","391","3",14,"T1","Before","Control"
"3.65","442","3",13,"T1","Before","Control"
"3.73","506","3",11,"T1","Before","Control"
"3.90","634","3",13,"T2","Before","Control"
"3.100","698","3",15,"T2","Before","Control"
"3.108","762","3",14,"T3","Before","Control"
"4.3","106","4",8,"T1","Before","Control"
"4.14","12RC5","4",24,"T1","Before","Control"
"4.15","12RC6","4",18,"T2","Before","Control"
"4.41","26","4",12,"T1","Before","Control"
"4.47","282","4",12,"T2","Before","Control"
"4.71","490","4",12,"T3","Before","Control"
"4.86","618","4",15,"T3","Before","Control"
"4.98","682","4",20,"T3","Before","Control"
"4.103","746","4",5,"T2","Before","Control"
"4.122","858","4",9,"T1","Before","Control"
"27.6","112","27",11,"T3","Before","Control"
"27.7","11R2","27",9,"T3","Before","Control"
"27.8","11R3","27",5,"T2","Before","Control"
"27.29","16","27",7,"T3","Before","Control"
"27.45","272","27",14,"T2","Before","Control"
"27.51","316","27",14,"T1","Before","Control"
"27.67","448","27",11,"T3","Before","Control"
"27.70","48","27",9,"T2","Before","Control"
"27.84","60","27",10,"T1","Before","Control"
"27.96","672","27",7,"T1","Before","Control"
"27.104","748","27",13,"T1","Before","Control"
"27.109","764","27",15,"T2","Before","Control"
