"","Sample","clust","coords.x1","coords.x2","Geographe"
"1","103",25,115.4547167,-33.4581167,40
"2","1038",3,115.4200167,-33.5333333,20
"3","106",4,115.3451333,-33.57825,20
"4","107",5,115.1881167,-33.5833333,40
"5","11",6,115.2958167,-33.5712167,40
"6","112",27,115.5224,-33.4052,40
"7","11R2",27,115.5076167,-33.3967333,40
"8","11R3",27,115.5204667,-33.41215,20
"9","11R4",31,115.51755,-33.4197,40
"10","122",3,115.4020833,-33.5375,40
"11","12RC1",2,115.2132833,-33.5932167,20
"12","12RC2",8,115.23785,-33.5916,40
"13","12RC3",8,115.24145,-33.5914667,40
"14","12RC5",4,115.3443,-33.5621333,40
"15","12RC6",4,115.3481333,-33.5711,39
"16","12RC7",3,115.41785,-33.5118,40
"17","12RC8",3,115.41815,-33.5148667,40
"18","12RC9",3,115.4064167,-33.5162167,40
"19","135",3,115.4207333,-33.50185,40
"20","139",6,115.2736667,-33.60325,40
"21","13RC1",10,115.43075,-33.5059833,40
"22","13RC2",10,115.45595,-33.49485,40
"23","13RC3",10,115.45155,-33.4839333,20
"24","13RC5",10,115.4656167,-33.4839333,20
"25","14",3,115.4130333,-33.5296667,40
"26","143",8,115.2367,-33.5761667,40
"27","15",2,115.2147833,-33.5782333,40
"28","151",25,115.4328833,-33.4768,40
"29","16",27,115.4986167,-33.3889,40
"30","160",8,115.2477833,-33.6033667,20
"31","167",25,115.4805667,-33.4627333,40
"32","170",1,115.3698333,-33.54165,40
"33","183",8,115.2488,-33.5687667,20
"34","196",3,115.4045,-33.5098167,40
"35","207",2,115.23165,-33.5738333,40
"36","22",5,115.1806667,-33.57455,40
"37","224",31,115.5035833,-33.4189,40
"38","23",10,115.4289333,-33.5041833,40
"39","240",31,115.4684667,-33.4387833,40
"40","256",31,115.4774833,-33.4083167,40
"41","26",4,115.3236167,-33.5500333,40
"42","27",5,115.1883833,-33.5463667,20
"43","270",3,115.4206,-33.52045,40
"44","271",2,115.2133167,-33.5937,40
"45","272",27,115.4879333,-33.3815,40
"46","279",10,115.4379167,-33.5011833,40
"47","282",4,115.3322333,-33.5571833,40
"48","287",2,115.2189,-33.5940333,40
"49","288",25,115.4775833,-33.4709833,40
"50","31",8,115.2369167,-33.5986333,40
"51","316",27,115.5281667,-33.3839667,40
"52","32",10,115.46205,-33.4807833,40
"53","320",31,115.49575,-33.4417833,40
"54","331",8,115.2530333,-33.6030833,40
"55","335",2,115.2266667,-33.5771167,40
"56","352",25,115.4879833,-33.4517667,40
"57","375",2,115.2205667,-33.5902167,40
"58","378",1,115.3912,-33.5555833,20
"59","384",31,115.51415,-33.4274667,40
"60","39",25,115.43285,-33.465,40
"61","391",3,115.4101333,-33.50165,20
"62","407",10,115.4274667,-33.4881667,40
"63","42",1,115.3862333,-33.5425167,40
"64","432",31,115.4686,-33.4270333,40
"65","442",3,115.41935,-33.5066,40
"66","443",2,115.2024833,-33.5698,40
"67","448",27,115.4930667,-33.3965,40
"68","455",5,115.1820333,-33.5671333,40
"69","47",6,115.2877667,-33.5485,40
"70","48",27,115.5133833,-33.40275,20
"71","490",4,115.3612,-33.5613,40
