"","Sample","clust","Richness","time","Period","CvI"
"2.11","12RC1","2",22,"T3","Before","Impact"
"2.27","15","2",10,"T3","Before","Impact"
"2.35","207","2",7,"T2","Before","Impact"
"2.44","271","2",19,"T1","Before","Impact"
"2.48","287","2",16,"T2","Before","Impact"
"2.55","335","2",5,"T1","Before","Impact"
"2.57","375","2",21,"T3","Before","Impact"
"2.66","443","2",11,"T1","Before","Impact"
"2.75","527","2",15,"T2","Before","Impact"
"2.102","719","2",9,"T1","Before","Impact"
"2.110","779","2",19,"T3","Before","Impact"
"2.113","783","2",10,"T1","Before","Impact"
"2.114","79","2",6,"T3","Before","Impact"
"2.125","91","2",9,"T2","Before","Impact"
"2.127","GBR-BOB","2",9,"T2","Before","Impact"
"2.129","GBR1-3","2",9,"T1","Before","Impact"
"2.130","GBR1-4","2",23,"T3","Before","Impact"
"2.131","GBR4-1","2",27,"T2","Before","Impact"
"2.132","GBR4-2","2",12,"T2","Before","Impact"
"2.133","GBR5-1","2",25,"T1","Before","Impact"
"2.134","GBR5-2","2",14,"T3","Before","Impact"
"2.135","GBR5-3","2",10,"T1","Before","Impact"
"4.3","106","4",8,"T1","Before","Control"
"4.14","12RC5","4",24,"T1","Before","Control"
"4.15","12RC6","4",18,"T3","Before","Control"
"4.41","26","4",12,"T2","Before","Control"
"4.47","282","4",12,"T2","Before","Control"
"4.71","490","4",12,"T1","Before","Control"
"4.86","618","4",15,"T3","Before","Control"
"4.98","682","4",20,"T1","Before","Control"
"4.103","746","4",5,"T2","Before","Control"
"4.122","858","4",9,"T3","Before","Control"
"5.4","107","5",10,"T1","Before","Control"
"5.36","22","5",14,"T3","Before","Control"
"5.42","27","5",11,"T3","Before","Control"
"5.68","455","5",9,"T3","Before","Control"
"5.74","523","5",12,"T1","Before","Control"
"5.80","570","5",12,"T2","Before","Control"
"5.91","635","5",13,"T2","Before","Control"
"5.99","684","5",8,"T2","Before","Control"
"5.116","800","5",13,"T2","Before","Control"
"5.123","86","5",13,"T1","Before","Control"
"5.128","GBR1-2","5",23,"T1","Before","Control"
"25.1","103","25",15,"T1","Before","Control"
"25.28","151","25",11,"T1","Before","Control"
"25.31","167","25",11,"T2","Before","Control"
"25.49","288","25",13,"T2","Before","Control"
"25.56","352","25",13,"T1","Before","Control"
"25.60","39","25",13,"T1","Before","Control"
"25.85","608","25",13,"T2","Before","Control"
"25.89","633","25",16,"T3","Before","Control"
"25.97","679","25",8,"T3","Before","Control"
"25.126","96","25",7,"T3","Before","Control"
