"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,3,2,1,1,10,1,-0.2,0.23
"2",1,2,3,2,2,1,10,1,-0.2,0.244
"3",1,2,3,2,3,1,10,1,-0.2,0.228
"4",1,2,3,2,1,1,20,1,-0.2,0.254
"5",1,2,3,2,2,1,20,1,-0.2,0.248
"6",1,2,3,2,3,1,20,1,-0.2,0.264
"7",1,2,3,2,1,1,30,1,-0.2,0.236
"8",1,2,3,2,2,1,30,1,-0.2,0.31
"9",1,2,3,2,3,1,30,1,-0.2,0.296
"10",1,2,3,2,1,1,40,1,-0.2,0.234
"11",1,2,3,2,2,1,40,1,-0.2,0.324
"12",1,2,3,2,3,1,40,1,-0.2,0.372
"13",1,2,3,2,1,1,50,1,-0.2,0.278
"14",1,2,3,2,2,1,50,1,-0.2,0.402
"15",1,2,3,2,3,1,50,1,-0.2,0.384
"16",1,2,3,2,1,1,10,1,-0.4,0.378
"17",1,2,3,2,2,1,10,1,-0.4,0.43
"18",1,2,3,2,3,1,10,1,-0.4,0.47
"19",1,2,3,2,1,1,20,1,-0.4,0.48
"20",1,2,3,2,2,1,20,1,-0.4,0.554
"21",1,2,3,2,3,1,20,1,-0.4,0.62
"22",1,2,3,2,1,1,30,1,-0.4,0.63
"23",1,2,3,2,2,1,30,1,-0.4,0.72
"24",1,2,3,2,3,1,30,1,-0.4,0.784
"25",1,2,3,2,1,1,40,1,-0.4,0.664
"26",1,2,3,2,2,1,40,1,-0.4,0.816
"27",1,2,3,2,3,1,40,1,-0.4,0.838
"28",1,2,3,2,1,1,50,1,-0.4,0.73
"29",1,2,3,2,2,1,50,1,-0.4,0.858
"30",1,2,3,2,3,1,50,1,-0.4,0.896
"31",1,2,3,2,1,1,10,1,-0.6,0.554
"32",1,2,3,2,2,1,10,1,-0.6,0.676
"33",1,2,3,2,3,1,10,1,-0.6,0.742
"34",1,2,3,2,1,1,20,1,-0.6,0.758
"35",1,2,3,2,2,1,20,1,-0.6,0.868
"36",1,2,3,2,3,1,20,1,-0.6,0.92
"37",1,2,3,2,1,1,30,1,-0.6,0.864
"38",1,2,3,2,2,1,30,1,-0.6,0.956
"39",1,2,3,2,3,1,30,1,-0.6,0.982
"40",1,2,3,2,1,1,40,1,-0.6,0.942
"41",1,2,3,2,2,1,40,1,-0.6,0.986
"42",1,2,3,2,3,1,40,1,-0.6,0.982
"43",1,2,3,2,1,1,50,1,-0.6,0.982
"44",1,2,3,2,2,1,50,1,-0.6,0.986
"45",1,2,3,2,3,1,50,1,-0.6,1
"46",1,2,3,2,1,1,10,1,-0.8,0.746
"47",1,2,3,2,2,1,10,1,-0.8,0.86
"48",1,2,3,2,3,1,10,1,-0.8,0.912
"49",1,2,3,2,1,1,20,1,-0.8,0.93
"50",1,2,3,2,2,1,20,1,-0.8,0.986
"51",1,2,3,2,3,1,20,1,-0.8,0.986
"52",1,2,3,2,1,1,30,1,-0.8,0.986
"53",1,2,3,2,2,1,30,1,-0.8,0.992
"54",1,2,3,2,3,1,30,1,-0.8,0.998
"55",1,2,3,2,1,1,40,1,-0.8,0.996
"56",1,2,3,2,2,1,40,1,-0.8,1
"57",1,2,3,2,3,1,40,1,-0.8,0.998
"58",1,2,3,2,1,1,50,1,-0.8,1
"59",1,2,3,2,2,1,50,1,-0.8,1
"60",1,2,3,2,3,1,50,1,-0.8,1
