"","locations.impact","locations.control","sublocations.within.locations","times.before","times.after","subtimes.within.times","replicates","trials","effect","sig.outcomes"
"1",1,2,3,2,1,1,10,1,-0.2,0.474
"2",1,2,3,2,2,1,10,1,-0.2,0.454
"3",1,2,3,2,3,1,10,1,-0.2,0.508
"4",1,2,3,2,1,1,20,1,-0.2,0.52
"5",1,2,3,2,2,1,20,1,-0.2,0.626
"6",1,2,3,2,3,1,20,1,-0.2,0.656
"7",1,2,3,2,1,1,30,1,-0.2,0.596
"8",1,2,3,2,2,1,30,1,-0.2,0.722
"9",1,2,3,2,3,1,30,1,-0.2,0.77
"10",1,2,3,2,1,1,40,1,-0.2,0.688
"11",1,2,3,2,2,1,40,1,-0.2,0.818
"12",1,2,3,2,3,1,40,1,-0.2,0.836
"13",1,2,3,2,1,1,50,1,-0.2,0.786
"14",1,2,3,2,2,1,50,1,-0.2,0.858
"15",1,2,3,2,3,1,50,1,-0.2,0.886
"16",1,2,3,2,1,1,10,1,-0.4,0.776
"17",1,2,3,2,2,1,10,1,-0.4,0.838
"18",1,2,3,2,3,1,10,1,-0.4,0.922
"19",1,2,3,2,1,1,20,1,-0.4,0.938
"20",1,2,3,2,2,1,20,1,-0.4,0.972
"21",1,2,3,2,3,1,20,1,-0.4,0.982
"22",1,2,3,2,1,1,30,1,-0.4,0.966
"23",1,2,3,2,2,1,30,1,-0.4,0.994
"24",1,2,3,2,3,1,30,1,-0.4,0.988
"25",1,2,3,2,1,1,40,1,-0.4,0.986
"26",1,2,3,2,2,1,40,1,-0.4,0.996
"27",1,2,3,2,3,1,40,1,-0.4,0.994
"28",1,2,3,2,1,1,50,1,-0.4,0.99
"29",1,2,3,2,2,1,50,1,-0.4,0.994
"30",1,2,3,2,3,1,50,1,-0.4,0.998
"31",1,2,3,2,1,1,10,1,-0.6,0.952
"32",1,2,3,2,2,1,10,1,-0.6,0.982
"33",1,2,3,2,3,1,10,1,-0.6,0.99
"34",1,2,3,2,1,1,20,1,-0.6,0.99
"35",1,2,3,2,2,1,20,1,-0.6,0.996
"36",1,2,3,2,3,1,20,1,-0.6,1
"37",1,2,3,2,1,1,30,1,-0.6,0.998
"38",1,2,3,2,2,1,30,1,-0.6,0.998
"39",1,2,3,2,3,1,30,1,-0.6,1
"40",1,2,3,2,1,1,40,1,-0.6,1
"41",1,2,3,2,2,1,40,1,-0.6,0.998
"42",1,2,3,2,3,1,40,1,-0.6,1
"43",1,2,3,2,1,1,50,1,-0.6,1
"44",1,2,3,2,2,1,50,1,-0.6,1
"45",1,2,3,2,3,1,50,1,-0.6,0.998
"46",1,2,3,2,1,1,10,1,-0.8,0.998
"47",1,2,3,2,2,1,10,1,-0.8,0.996
"48",1,2,3,2,3,1,10,1,-0.8,0.996
"49",1,2,3,2,1,1,20,1,-0.8,1
"50",1,2,3,2,2,1,20,1,-0.8,1
"51",1,2,3,2,3,1,20,1,-0.8,1
"52",1,2,3,2,1,1,30,1,-0.8,1
"53",1,2,3,2,2,1,30,1,-0.8,1
"54",1,2,3,2,3,1,30,1,-0.8,1
"55",1,2,3,2,1,1,40,1,-0.8,1
"56",1,2,3,2,2,1,40,1,-0.8,1
"57",1,2,3,2,3,1,40,1,-0.8,1
"58",1,2,3,2,1,1,50,1,-0.8,0.998
"59",1,2,3,2,2,1,50,1,-0.8,1
"60",1,2,3,2,3,1,50,1,-0.8,1
