"","image","Ascidians","Ascidians.Unstalked.Solitary","Bryozoa","Cnidaria.Corals","Cnidaria.Corals.Ston.Corals.Tabulate","Echinoderms.Feathe.Stars.Stalke.Crinoids","Macroalgae","Macroalgae.Articulate.Calcareous.Red","Macroalgae.Drif.Algae","Macroalgae.Encrusting.Brown","Macroalgae.Encrusting.Red","Macroalgae.Encrusting.Red.Calcareous","Macroalgae.Erec.Coars.Branching","Macroalgae.Erec.Coars.Branching.Brown","Macroalgae.Erec.Coars.Branching.Brown.Drift","Macroalgae.Erec.Coars.Branching.Brown.Sargassu.Spp","Macroalgae.Erec.Coars.Branching.Red","Macroalgae.Erec.Fin.Branching","Macroalgae.Erec.Fin.Branching.Brown","Macroalgae.Erec.Fin.Branching.Brown.Brow.Understor.Algae","Macroalgae.Erec.Fin.Branching.Red","Macroalgae.Erec.Fin.Branching.Red.Foliose","Macroalgae.Filamentou..Filiform.Green","Macroalgae.Filamentou..Filiform.Turfin.Algae","Macroalgae.Globos..Saccate.Brown","Macroalgae.Globos..Saccate.Green","Macroalgae.Laminate.Brown","Macroalgae.Laminate.Green","Macroalgae.Laminate.Red","Molluscs.Bivalves.Scallop","Seagrasses.Elliptica.Leaves.Halophil.sp.","Seagrasses.Elliptica.Leaves.Halophil.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp.","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp..epiphytes.other","Seagrasses.Strap-Lik.Leaves.epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Posidoni.sp.","Seagrasses.Strap-Lik.Leaves.Posidoni.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Posidoni.sp..epiphytes.other","Seagrasses.Strap-Lik.Leaves.Rupi.sp..epiphytes.algae","Sponges","Sponges.Crusts","Sponges.Crusts.Encrusting","Sponges.Crusts.Encrusting.Encrustin.Orange","Sponges.Cup-Likes.Cups.Cu..Goblet","Sponges.Cup-Likes.Tube.An.Chimneys.Tube.Orang.Irrigular","Sponges.Massiv.Forms","Substrate.Consolidate..Boulders","Substrate.Consolidate..Rock","Substrate.Unconsolidate..Pebbl..Gravel","Substrate.Unconsolidate..Pebbl..Gravel.Biologenic","Substrate.Unconsolidate..Pebbl..Gravel.Biologenic.Coquin..Shellhash","Substrate.Unconsolidate..San..Mu.","Substrate.Unconsolidate..San..Mu..Coars.San.","Substrate.Unconsolidate..San..Mu..Fin.San.","Substrate.Unconsolidate..San..Mu..Mu..Sil.","total.sum","Latitude","Longitude","Zone","Transect","Transect.id"
"1","L1120_HPZT2_09_34_27_0186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,100,33.59453167,115.2168617,"HPZ",2,"HPZ.2"
"2","L1120_HPZT2_09_34_27_0187",0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.52,0,100,33.59453333,115.21683,"HPZ",2,"HPZ.2"
"3","L1120_HPZT2_09_34_27_0188",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0,100,33.59453,115.2167983,"HPZ",2,"HPZ.2"
"4","L1120_HPZT2_09_34_27_0189",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,100,33.594525,115.2167717,"HPZ",2,"HPZ.2"
"5","L1120_HPZT2_09_34_27_0190",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,100,33.59452,115.2167367,"HPZ",2,"HPZ.2"
"6","L1120_HPZT2_09_34_27_0191",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,100,33.59451833,115.216695,"HPZ",2,"HPZ.2"
"7","L1120_HPZT2_09_34_27_0192",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,100,33.594515,115.2166533,"HPZ",2,"HPZ.2"
"8","L1120_HPZT2_09_34_27_0193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,100,33.59450667,115.21661,"HPZ",2,"HPZ.2"
"9","L1120_HPZT2_09_34_27_0194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,68,0,100,33.59450167,115.2165633,"HPZ",2,"HPZ.2"
"10","L1120_HPZT2_09_34_27_0195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,100,33.59449,115.2165233,"HPZ",2,"HPZ.2"
