"","image","Ascidians","Ascidians.Unstalked.Solitary","Bryozoa","Cnidaria.Corals","Cnidaria.Corals.Ston.Corals.Tabulate","Echinoderms.Feathe.Stars.Stalke.Crinoids","Macroalgae","Macroalgae.Articulate.Calcareous.Red","Macroalgae.Drif.Algae","Macroalgae.Encrusting.Brown","Macroalgae.Encrusting.Red","Macroalgae.Encrusting.Red.Calcareous","Macroalgae.Erec.Coars.Branching","Macroalgae.Erec.Coars.Branching.Brown","Macroalgae.Erec.Coars.Branching.Brown.Drift","Macroalgae.Erec.Coars.Branching.Brown.Sargassu.Spp","Macroalgae.Erec.Coars.Branching.Red","Macroalgae.Erec.Fin.Branching","Macroalgae.Erec.Fin.Branching.Brown","Macroalgae.Erec.Fin.Branching.Brown.Brow.Understor.Algae","Macroalgae.Erec.Fin.Branching.Red","Macroalgae.Erec.Fin.Branching.Red.Foliose","Macroalgae.Filamentou..Filiform.Green","Macroalgae.Filamentou..Filiform.Turfin.Algae","Macroalgae.Globos..Saccate.Brown","Macroalgae.Globos..Saccate.Green","Macroalgae.Laminate.Brown","Macroalgae.Laminate.Green","Macroalgae.Laminate.Red","Molluscs.Bivalves.Scallop","Seagrasses.Elliptica.Leaves.Halophil.sp.","Seagrasses.Elliptica.Leaves.Halophil.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp.","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Amphiboli.sp..epiphytes.other","Seagrasses.Strap-Lik.Leaves.epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Posidoni.sp.","Seagrasses.Strap-Lik.Leaves.Posidoni.sp..epiphytes.algae","Seagrasses.Strap-Lik.Leaves.Posidoni.sp..epiphytes.other","Seagrasses.Strap-Lik.Leaves.Rupi.sp..epiphytes.algae","Sponges","Sponges.Crusts","Sponges.Crusts.Encrusting","Sponges.Crusts.Encrusting.Encrustin.Orange","Sponges.Cup-Likes.Cups.Cu..Goblet","Sponges.Cup-Likes.Tube.An.Chimneys.Tube.Orang.Irrigular","Sponges.Massiv.Forms","Substrate.Consolidate..Boulders","Substrate.Consolidate..Rock","Substrate.Unconsolidate..Pebbl..Gravel","Substrate.Unconsolidate..Pebbl..Gravel.Biologenic","Substrate.Unconsolidate..Pebbl..Gravel.Biologenic.Coquin..Shellhash","Substrate.Unconsolidate..San..Mu.","Substrate.Unconsolidate..San..Mu..Coars.San.","Substrate.Unconsolidate..San..Mu..Fin.San.","Substrate.Unconsolidate..San..Mu..Mu..Sil.","total.sum","Latitude","Longitude","Zone","Transect","Transect.id"
"11","L1120_HPZT2_09_34_27_0196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,100,33.594485,115.2164817,"HPZ",2,"HPZ.2"
"12","L1120_HPZT2_09_34_27_0197",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,100,33.594475,115.2164417,"HPZ",2,"HPZ.2"
"13","L1120_HPZT2_09_34_27_0198",0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,100,33.59446833,115.2164083,"HPZ",2,"HPZ.2"
"14","L1120_HPZT2_09_34_27_0199",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,100,33.59446833,115.2163667,"HPZ",2,"HPZ.2"
"15","L1120_HPZT2_09_34_27_0200",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,100,33.59447167,115.21632,"HPZ",2,"HPZ.2"
"16","L1120_HPZT2_09_34_27_0201",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,100,33.594465,115.2162883,"HPZ",2,"HPZ.2"
"17","L1120_HPZT2_09_34_27_0202",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,100,33.59445333,115.2162583,"HPZ",2,"HPZ.2"
"18","L1120_HPZT2_09_34_27_0203",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,100,33.59444167,115.2162367,"HPZ",2,"HPZ.2"
"19","L1120_HPZT2_09_34_27_0204",0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,0,100,33.59443,115.2162167,"HPZ",2,"HPZ.2"
"20","L1120_HPZT2_09_34_27_0205",0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,0,100,33.594425,115.2161867,"HPZ",2,"HPZ.2"
"21","L1120_HPZT2_09_34_27_0206",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,0,100,33.59442,115.216155,"HPZ",2,"HPZ.2"
"22","L1120_HPZT2_09_34_27_0207",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,64,0,100,33.59441333,115.216135,"HPZ",2,"HPZ.2"
"23","L1120_HPZT2_09_34_27_0208",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,68,0,100,33.59441167,115.2161083,"HPZ",2,"HPZ.2"
"24","L1120_HPZT2_09_34_27_0209",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,44,0,100,33.594405,115.2160817,"HPZ",2,"HPZ.2"
"25","L1120_HPZT2_09_34_27_0210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,100,33.59440167,115.2160583,"HPZ",2,"HPZ.2"
"26","L1120_HPZT2_09_34_27_0211",0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,100,33.59439833,115.2160367,"HPZ",2,"HPZ.2"
"27","L1120_HPZT2_09_34_27_0212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,100,33.594385,115.2160133,"HPZ",2,"HPZ.2"
"28","L1120_HPZT2_09_34_27_0213",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,100,33.59437833,115.2159917,"HPZ",2,"HPZ.2"
"29","L1120_HPZT2_09_34_27_0214",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,100,33.59437833,115.21596,"HPZ",2,"HPZ.2"
"30","L1120_HPZT2_09_34_27_0215",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,100,33.59437833,115.2159317,"HPZ",2,"HPZ.2"
"31","L1120_HPZT2_09_34_27_0216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,44,0,100,33.59437667,115.2159133,"HPZ",2,"HPZ.2"
"32","L1120_HPZT2_09_34_27_0217",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,52,0,100,33.59436833,115.21589,"HPZ",2,"HPZ.2"
"33","L1120_HPZT2_09_34_27_0218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,0,100,33.594355,115.21587,"HPZ",2,"HPZ.2"
"34","L1120_HPZT2_09_34_27_0219",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,60,0,100,33.59435667,115.2158517,"HPZ",2,"HPZ.2"
"35","L1120_HPZT2_09_34_27_0220",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,56,0,100,33.59434833,115.2158233,"HPZ",2,"HPZ.2"
"36","L1120_HPZT2_09_34_27_0221",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,76,0,100,33.59434167,115.2157967,"HPZ",2,"HPZ.2"
"37","L1120_HPZT2_09_34_27_0222",0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,100,33.59433833,115.21577,"HPZ",2,"HPZ.2"
"38","L1120_HPZT2_09_34_27_0223",0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,100,33.59433667,115.2157417,"HPZ",2,"HPZ.2"
"39","L1120_HPZT2_09_34_27_0224",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,0,100,33.59433333,115.215715,"HPZ",2,"HPZ.2"
"40","L1120_HPZT2_09_34_27_0225",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,64,0,100,33.59433333,115.215685,"HPZ",2,"HPZ.2"
"41","L1120_HPZT2_09_34_27_0226",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,0,100,33.59433667,115.2156667,"HPZ",2,"HPZ.2"
"42","L1120_HPZT2_09_34_27_0227",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,80,0,100,33.59434167,115.2156467,"HPZ",2,"HPZ.2"
"43","L1120_HPZT2_09_34_27_0228",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68,0,100,33.59435,115.2156183,"HPZ",2,"HPZ.2"
"44","L1120_HPZT2_09_34_27_0229",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,72,0,100,33.59435333,115.2155867,"HPZ",2,"HPZ.2"
"45","L1120_HPZT2_09_34_27_0230",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,0,100,33.59435167,115.2155667,"HPZ",2,"HPZ.2"
"46","L1120_HPZT2_09_34_27_0231",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,0,100,33.59435,115.2155433,"HPZ",2,"HPZ.2"
"47","L1120_HPZT2_09_34_27_0232",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,40,0,100,33.59434667,115.2155167,"HPZ",2,"HPZ.2"
"48","L1120_HPZT2_09_34_27_0233",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,52,0,100,33.59434,115.2154917,"HPZ",2,"HPZ.2"
"49","L1120_HPZT2_09_34_27_0234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,100,33.59434,115.2154683,"HPZ",2,"HPZ.2"
"50","L1120_HPZT2_09_34_27_0235",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,28,20,0,100,33.59434,115.2154417,"HPZ",2,"HPZ.2"
"51","L1120_HPZT2_09_34_27_0236",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,100,33.59434,115.215415,"HPZ",2,"HPZ.2"
"52","L1120_HPZT2_09_34_27_0237",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0,100,33.594345,115.2153917,"HPZ",2,"HPZ.2"
"53","L1120_HPZT2_09_34_27_0238",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,48,0,100,33.59434833,115.215355,"HPZ",2,"HPZ.2"
"54","L1120_HPZT2_09_34_27_0239",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,100,33.59435333,115.2153267,"HPZ",2,"HPZ.2"
"55","L1120_HPZT2_09_34_27_0240",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,100,33.59435333,115.2153,"HPZ",2,"HPZ.2"
"56","L1120_HPZT2_09_34_27_0241",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,100,33.59435333,115.215265,"HPZ",2,"HPZ.2"
"57","L1120_HPZT2_09_34_27_0242",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,100,33.59435333,115.2152417,"HPZ",2,"HPZ.2"
"58","L1120_HPZT2_09_34_27_0243",0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,100,33.59435,115.2152183,"HPZ",2,"HPZ.2"
"59","L1120_HPZT2_09_34_27_0244",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64,0,100,33.59434667,115.21519,"HPZ",2,"HPZ.2"
"60","L1120_HPZT2_09_34_27_0245",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,100,33.59434833,115.215155,"HPZ",2,"HPZ.2"
"61","L1120_HPZT2_09_34_27_0246",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,100,33.59434667,115.2151217,"HPZ",2,"HPZ.2"
"62","L1120_HPZT2_09_34_27_0247",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,100,33.59433833,115.2150917,"HPZ",2,"HPZ.2"
"63","L1120_HPZT2_09_34_27_0248",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,68,0,100,33.59433,115.21507,"HPZ",2,"HPZ.2"
"64","L1120_HPZT2_09_34_27_0249",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,0,100,33.594325,115.215045,"HPZ",2,"HPZ.2"
"65","L1120_HPZT2_09_34_27_0250",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0,100,33.59431667,115.21502,"HPZ",2,"HPZ.2"
"66","L1120_HPZT2_09_34_27_0251",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,0,100,33.59431167,115.2149883,"HPZ",2,"HPZ.2"
"67","L1120_HPZT2_09_34_27_0252",0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,44,0,100,33.59430667,115.2149633,"HPZ",2,"HPZ.2"
