"","Transect","ZoneName","Seagrass","no.scored","Time","Period","zone.sim","CvI"
"1","LGBDT3","Habitat Protection Zone",229,1900,"T1","Before","HPZ","Control"
"2","LGBDT2","Multiple Use Zone",264,1900,"T1","Before","HPZ","Control"
"3","LGBDT4","Multiple Use Zone",112,1900,"T1","Before","MUZ","Impact"
"4","LGBDT5","Multiple Use Zone",279,1900,"T1","Before","MUZ","Impact"
"5","LGBDT6","Multiple Use Zone",168,1900,"T1","Before","MUZ2","Control"
"6","LGBDT7","Multiple Use Zone",87,1900,"T1","Before","MUZ2","Control"
"7","LGBDT3","Habitat Protection Zone",231,1900,"T2","Before","HPZ","Control"
"8","LGBDT2","Multiple Use Zone",264,1900,"T2","Before","HPZ","Control"
"9","LGBDT4","Multiple Use Zone",121,1900,"T2","Before","MUZ","Impact"
"10","LGBDT5","Multiple Use Zone",239,1900,"T2","Before","MUZ","Impact"
"11","LGBDT6","Multiple Use Zone",163,1900,"T2","Before","MUZ2","Control"
"12","LGBDT7","Multiple Use Zone",90,1900,"T2","Before","MUZ2","Control"
"13","LGBDT3","Habitat Protection Zone",232,1900,"T3","Before","HPZ","Control"
"14","LGBDT2","Multiple Use Zone",264,1900,"T3","Before","HPZ","Control"
"15","LGBDT4","Multiple Use Zone",129,1900,"T3","Before","MUZ","Impact"
"16","LGBDT5","Multiple Use Zone",241,1900,"T3","Before","MUZ","Impact"
"17","LGBDT6","Multiple Use Zone",177,1900,"T3","Before","MUZ2","Control"
"18","LGBDT7","Multiple Use Zone",91,1900,"T3","Before","MUZ2","Control"
