"","Cluster","ZoneName","Seagrass","no.scored","Time","Period","CvI"
"1","2","Habitat Protection Zone",4638,758,"T1","Before","Control"
"2","6","Multiple Use Zone",4920,340,"T1","Before","Control"
"3","1","National Park Zone",4860,340,"T1","Before","Impact"
"4","25","Special Purpose Zone (Mining Exclusion)",3000,360,"T1","Before","Control"
"5","2","Habitat Protection Zone",4638,758,"T2","Before","Control"
"6","6","Multiple Use Zone",4920,340,"T2","Before","Control"
"7","1","National Park Zone",4860,340,"T2","Before","Impact"
"8","25","Special Purpose Zone (Mining Exclusion)",3000,360,"T2","Before","Control"
"9","2","Habitat Protection Zone",4638,758,"T3","Before","Control"
"10","6","Multiple Use Zone",4920,340,"T3","Before","Control"
"11","1","National Park Zone",4860,340,"T3","Before","Impact"
"12","25","Special Purpose Zone (Mining Exclusion)",3000,360,"T3","Before","Control"
