"","long","lat","cluster","bathy.res"
"1",115.224843706516,-33.555794251639,1,"Low"
"151",115.415852140998,-33.3585397961413,2,"Low"
"176",115.288461693407,-33.475365137869,3,"Low"
"201",115.061186660518,-33.3804063969136,4,"Low"
"251",115.185442855155,-33.4134680651461,5,"Low"
"301",115.37753609865,-33.3999347171956,6,"Low"
"326",115.251608853111,-33.3513390473359,7,"Low"
"351",115.217533894585,-33.4543813190636,8,"Low"
"376",115.15403620364,-33.3599184324192,9,"Low"
"401",115.406966704436,-33.4414921335523,10,"Low"
"426",115.076669252957,-33.479272451203,11,"Low"
"501",115.138130897837,-33.4190542399653,12,"Low"
"601",115.348539456239,-33.4956846616352,13,"Low"
"626",115.160253852166,-33.5429900791129,14,"Low"
"676",115.277837865612,-33.56014969341,15,"Low"
"26",115.30205762557,-33.5844152893243,2,"High"
"51",115.409004272078,-33.5037903720576,3,"High"
"76",115.355124149214,-33.5301217327662,4,"High"
"101",115.165664798031,-33.579989146984,5,"High"
"12",115.463215369528,-33.4262214836312,1,"High"
"261",115.529664825975,-33.3643185668608,2,"High"
"511",115.44610349878,-33.4649045619215,3,"High"
"1511",115.498514168649,-33.4374761187058,4,"High"
"2011",115.410960866045,-33.4607345357743,5,"High"
"13",115.398402362436,-33.5540907789383,1,"High"
"512",115.378051998035,-33.5479639785826,2,"High"
"226",115.215006943699,-33.5944165435795,3,"High"
